1,VOIGT Vanessa,Германия,38:52.3 [0(0+0+0+0)] 0.0,female125oneGonka
2,KEBINGER Hanna,Германия,38:59.2 [0(0+0+0+0)] +6.9,female125oneGonka
3,PHANEUF Madeleine,США,39:18.5 [1(0+1+0+0)] +26.2,female125oneGonka
4,DEIGENTESCH Marion,Германия,39:20.6 [1(0+1+0+0)] +28.3,female125oneGonka
5,WEIDEL Anna,Германия,39:37.4 [2(1+0+1+0)] +45.1,female125oneGonka
6,FEMSTEINEVIK Ragnhild,Норвегия,39:53.0 [2(0+2+0+0)] +1:00.7,female125oneGonka
7,JEANMONNOT Lou,Франция,39:53.3 [1(0+0+1+0)] +1:01.0,female125oneGonka
8,COMOLA Samuela,Италия,39:53.4 [0(0+0+0+0)] +1:01.1,female125oneGonka
9,PETRENKO Iryna,Украина,39:55.1 [1(0+0+0+1)] +1:02.8,female125oneGonka
10,KRYVONOS Anna,Украина,40:05.4 [1(0+0+0+1)] +1:13.1,female125oneGonka
11,HOEGBERG Elisabeth,Швеция,40:15.1 [3(0+1+1+1)] +1:22.8,female125oneGonka
12,ANDERSSON Ingela,Швеция,40:21.5 [4(1+1+0+2)] +1:29.2,female125oneGonka
13,FRUEHWIRT Juliane,Германия,40:24.4 [2(0+1+1+0)] +1:32.1,female125oneGonka
14,VOLKEN Flurina,Швейцария,40:27.1 [1(1+0+0+0)] +1:34.8,female125oneGonka
15,MAGNUSSON Anna,Швеция,40:29.6 [3(0+1+0+2)] +1:37.3,female125oneGonka
16,VASNETCOVA Valeriia,Россия,40:34.9 [3(1+0+1+1)] +1:42.6,female125oneGonka
17,TOMASZEWSKA Natalia,Польша,40:38.5 [1(0+1+0+0)] +1:46.2,female125oneGonka
18,SCHMIDT Elisabeth,Германия,40:56.8 [2(1+1+0+0)] +2:04.5,female125oneGonka
19,GERBULOVA Natalia,Россия,41:05.1 [4(2+0+1+1)] +2:12.8,female125oneGonka
20,KALKENBERG Emilie Aagheim,Норвегия,41:19.0 [2(0+2+0+0)] +2:26.7,female125oneGonka
21,GUIGONNAT Gilonne,Франция,41:30.1 [2(0+0+1+1)] +2:37.8,female125oneGonka
22,EGOROVA Anastasiia,Россия,41:34.5 [4(0+1+1+2)] +2:42.2,female125oneGonka
23,JOHANSEN Marthe Krakstad,Норвегия,41:36.9 [1(0+0+0+1)] +2:44.6,female125oneGonka
24,KAPLINA Elizaveta,Россия,41:41.2 [1(0+1+0+0)] +2:48.9,female125oneGonka
25,NILSSON Stina,Швеция,41:42.3 [5(0+3+0+2)] +2:50.0,female125oneGonka
26,JURCOVA Natalie,Чехия,41:44.5 [1(0+1+0+0)] +2:52.2,female125oneGonka
27,STEINER Tamara,Австрия,41:44.7 [2(2+0+0+0)] +2:52.4,female125oneGonka
28,HENDEL Helene Therese,Германия,41:45.1 [1(0+1+0+0)] +2:52.8,female125oneGonka
29,HEDSTROM Anna,Швеция,42:04.9 [3(0+2+1+0)] +3:12.6,female125oneGonka
30,DI LALLO Sabine,Швейцария,42:17.7 [2(0+2+0+0)] +3:25.4,female125oneGonka
31,IVANOVA Aliona,Молдова,42:18.3 [2(0+1+0+1)] +3:26.0,female125oneGonka
32,VINKLARKOVA Tereza,Чехия,42:20.7 [2(0+2+0+0)] +3:28.4,female125oneGonka
33,TOLMACHEVA Anastasia,Румыния,42:28.2 [2(0+0+0+2)] +3:35.9,female125oneGonka
34,SKREDE Aasne,Норвегия,42:30.1 [3(1+0+0+2)] +3:37.8,female125oneGonka
35,GAIM Grete,Эстония,42:34.8 [2(0+0+1+1)] +3:42.5,female125oneGonka
36,OBERTHALER Kristina,Австрия,42:35.9 [2(0+2+0+0)] +3:43.6,female125oneGonka
37,GWIZDON Magdalena,Польша,42:36.1 [4(1+0+0+3)] +3:43.8,female125oneGonka
38,COUPE Camille,Франция,42:41.7 [3(0+1+1+1)] +3:49.4,female125oneGonka
39,REMENOVA Maria,Словакия,42:48.5 [4(1+1+1+1)] +3:56.2,female125oneGonka
