1,HAUSER Lisa Theresa,Австрия,42:29.3 [1(0+0+1+0)] 0.0,female15gonka
2,DZHIMA Yuliia,Украина,43:13.0 [0(0+0+0+0)] +43.7,female15gonka
3,CHEVALIER-BOUCHET Anais,Франция,43:33.3 [1(0+0+0+1)] +1:04.0,female15gonka
4,WIERER Dorothea,Италия,43:44.4 [2(1+0+0+1)] +1:15.1,female15gonka
5,HETTICH Janina,Германия,43:53.2 [1(0+0+0+1)] +1:23.9,female15gonka
6,PAVLOVA Evgeniya,Россия,44:18.4 [2(0+1+0+1)] +1:49.1,female15gonka
7,MIRONOVA Svetlana,Россия,44:20.6 [2(0+0+1+1)] +1:51.3,female15gonka
8,ALIMBEKAVA Dzinara,Беларусь,44:21.7 [2(1+0+0+1)] +1:52.4,female15gonka
9,KAISHEVA Uliana,Россия,44:24.9 [2(0+0+2+0)] +1:55.6,female15gonka
10,ZDOUC Dunja,Австрия,44:57.3 [1(0+0+0+1)] +2:28.0,female15gonka
11,DEIGENTESCH Marion,Германия,45:01.0 [1(1+0+0+0)] +2:31.7,female15gonka
12,HINZ Vanessa,Германия,45:06.2 [2(0+0+1+1)] +2:36.9,female15gonka
13,VITTOZZI Lisa,Италия,45:12.4 [3(0+1+1+1)] +2:43.1,female15gonka
14,KUKLINA Larisa,Россия,45:15.3 [1(0+0+1+0)] +2:46.0,female15gonka
15,PERSSON Linn,Швеция,45:17.9 [2(0+1+0+1)] +2:48.6,female15gonka
16,PIDHRUSHNA Olena,Украина,45:18.9 [1(0+0+0+1)] +2:49.6,female15gonka
17,HERRMANN Denise,Германия,45:19.5 [4(1+1+0+2)] +2:50.2,female15gonka
18,ECKHOFF Tiril,Норвегия,45:21.6 [4(1+2+0+1)] +2:52.3,female15gonka
19,BESCOND Anais,Франция,45:24.6 [2(0+1+0+1)] +2:55.3,female15gonka
20,DUNKLEE Susan,США,45:30.6 [1(0+0+0+1)] +3:01.3,female15gonka
21,HOJNISZ-STAREGA Monika,Польша,45:31.1 [3(1+1+1+0)] +3:01.8,female15gonka
22,COLOMBO Caroline,Франция,45:34.4 [2(1+1+0+0)] +3:05.1,female15gonka
23,HAECKI Lena,Швейцария,45:34.6 [3(1+1+0+1)] +3:05.3,female15gonka
24,AVVAKUMOVA Ekaterina,Корея,45:36.8 [2(1+0+1+0)] +3:07.5,female15gonka
25,BANKES Megan,Канада,45:43.8 [2(0+1+1+0)] +3:14.5,female15gonka
26,MAKA Anna,Польша,45:46.0 [1(0+1+0+0)] +3:16.7,female15gonka
