1,AKIMOVA Tatiana,Россия,22:30.7 [1(1+0)] 0.0,female75sprint
2,VASNETCOVA Valeriia,Россия,22:40.5 [2(1+1)] +9.8,female75sprint
3,SHEVCHENKO Anastasia,Россия,22:53.7 [1(0+1)] +23.0,female75sprint
4,DEIGENTESCH Marion,Германия,22:57.8 [1(1+0)] +27.1,female75sprint
5,JEANMONNOT Lou,Франция,22:57.9 [1(0+1)] +27.2,female75sprint
6,GUIGONNAT Gilonne,Франция,22:59.7 [0(0+0)] +29.0,female75sprint
7,KRYVONOS Anna,Украина,23:03.9 [0(0+0)] +33.2,female75sprint
8,HALVARSSON Ella,Швеция,23:11.9 [0(0+0)] +41.2,female75sprint
9,VORONINA Tamara,Россия,23:13.6 [1(1+0)] +42.9,female75sprint
10,JOHANSSON Tilda,Швеция,23:19.1 [2(0+2)] +48.4,female75sprint
11,CARRARA Michela,Италия,23:19.8 [2(2+0)] +49.1,female75sprint
12,GONTIER Nicole,Италия,23:20.1 [3(1+2)] +49.4,female75sprint
13,FAUNER Eleonora,Италия,23:23.6 [1(0+1)] +52.9,female75sprint
14,CHAUVEAU Sophie,Франция,23:25.1 [2(0+2)] +54.4,female75sprint
15,HOEGBERG Elisabeth,Швеция,23:28.7 [2(2+0)] +58.0,female75sprint
16,SLETTEMARK Ukaleq Astri,Гренландия,23:28.9 [0(0+0)] +58.2,female75sprint
17,BEKH Ekaterina,Украина,23:29.7 [3(2+1)] +59.0,female75sprint
18,VOIGT Vanessa,Германия,23:35.2 [1(0+1)] +1:04.5,female75sprint
19,HILDEBRAND Franziska,Германия,23:39.7 [2(2+0)] +1:09.0,female75sprint
20,MERKUSHYNA Anastasiya,Украина,23:41.2 [2(0+2)] +1:10.5,female75sprint
21,BOTET Paula,Франция,23:43.1 [1(0+1)] +1:12.4,female75sprint
22,MOSHCHENKOVA Olga,Россия,23:45.2 [2(2+0)] +1:14.5,female75sprint
23,KALKENBERG Emilie Aagheim,Норвегия,23:46.0 [3(0+3)] +1:15.3,female75sprint
24,FRUEHWIRT Juliane,Германия,23:47.8 [2(1+1)] +1:17.1,female75sprint
25,ARNEKLEIV Juni,Норвегия,23:49.6 [2(1+1)] +1:18.9,female75sprint
26,TRABUCCHI Beatrice,Италия,23:52.0 [0(0+0)] +1:21.3,female75sprint
27,BENED Camille,Франция,23:52.4 [2(1+1)] +1:21.7,female75sprint
28,KINNUNEN Nastassia,Финляндия,23:52.9 [3(2+1)] +1:22.2,female75sprint
29,STREMOUS Alina,Молдова,23:54.7 [3(3+0)] +1:24.0,female75sprint
30,DIMITROVA Valentina,Болгария,23:55.3 [0(0+0)] +1:24.6,female75sprint
31,SCHERER Stefanie,Германия,23:56.7 [0(0+0)] +1:26.0,female75sprint
32,MEIER Lea,Швейцария,23:59.0 [2(1+1)] +1:28.3,female75sprint
33,REPINC Lena,Словения,24:03.1 [2(0+2)] +1:32.4,female75sprint
34,KAPLINA Elizaveta,Россия,24:04.5 [3(2+1)] +1:33.8,female75sprint
35,KVELVANE Une Christiane Tronerud,Норвегия,24:04.6 [2(1+1)] +1:33.9,female75sprint
